4	1	0	0	0	1
8	0	0	0	0	0
8	0	0	0	0	0
8	0	0	0	0	0
7	5	0	0	0	0
20	0	1	0	0	0
17	10	0	0	0	0
12	4	0	0	0	0
44	4	0	0	0	8
50	3	0	0	0	10
45	3	0	0	0	16
44	3	0	0	0	12
11	1	0	0	0	2
22	2	0	0	0	4
25	1	0	0	0	5
58	2	0	0	0	8
70	5	0	0	0	13
70	6	0	0	0	15
52	5	0	0	0	19
64	7	0	0	0	20
14	1	0	0	0	2
77	7	0	0	0	19
57	4	0	0	0	18
88	26	0	0	0	28
74	11	0	0	0	35
84	30	0	0	0	37
62	7	0	0	0	15
74	26	0	0	0	26
62	14	0	0	0	28
72	30	0	0	0	32
63	8	0	0	0	16
50	6	0	0	0	14
80	13	0	0	0	14
80	36	0	0	0	22
89	11	0	0	0	25
144	23	0	0	0	25
140	64	0	0	0	39
152	63	0	0	0	47
128	31	0	0	0	50
140	63	0	0	0	52
150	66	0	0	0	57
113	15	0	0	0	29
89	11	0	0	0	25
144	23	0	0	0	25
140	64	0	0	0	39
128	31	0	0	0	50
140	63	0	0	0	52
150	66	0	0	0	57
33	10	0	0	0	8
84	16	0	0	0	15
76	14	0	0	0	14
110	27	0	0	0	25
28	6	0	0	0	5
24	3	0	0	0	6
33	6	0	0	0	6
26	13	0	0	0	10
50	3	0	0	0	6
50	5	0	0	0	13
76	24	0	0	0	15
70	14	0	0	0	20
64	19	0	0	0	15
74	2	0	0	0	9
100	10	0	0	0	18
109	33	0	0	0	24
92	37	0	0	0	26
98	19	0	0	0	18
102	14	0	0	0	29
106	21	0	0	0	21
20	9	0	0	0	8
26	5	0	0	0	6
33	7	0	0	0	6
41	21	0	0	0	7
75	17	1	0	0	22
104	21	0	0	0	22
106	80	0	0	0	39
98	46	0	0	0	43
111	46	0	0	0	45
112	64	0	0	0	49
11	3	0	0	0	2
70	2	0	0	0	9
65	7	1	0	0	18
93	14	0	0	0	18
102	26	0	0	0	22
71	32	0	0	0	26
95	12	0	0	0	29
89	17	0	0	0	21
33	17	0	0	0	6
41	31	0	0	0	7
38	21	0	0	0	12
57	11	0	0	0	7
60	23	1	0	0	14
78	40	0	0	0	15
96	72	0	0	0	17
66	73	0	0	0	24
89	49	0	0	0	28
77	53	0	0	0	17
62	12	0	0	0	8
80	36	0	0	0	16
65	66	0	0	0	23
82	42	0	0	0	16
83	43	0	0	0	25
79	49	0	0	0	18
1	0	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
1	0	0	0	0	0
8	0	0	0	0	0
4	1	0	0	0	0
6	0	0	0	0	0
19	10	0	0	0	0
21	17	0	0	0	0
12	4	0	0	0	0
4	1	0	0	0	0
4	2	0	0	0	0
6	2	0	0	0	0
16	14	0	0	0	0
10	5	0	0	0	0
40	3	1	0	0	0
25	1	0	0	0	0
35	13	0	0	0	0
41	35	0	0	0	0
26	13	0	0	0	0
32	2	1	0	0	0
20	1	0	0	0	0
25	12	0	0	0	0
22	12	0	0	0	0
32	2	1	0	0	0
20	5	0	0	0	0
25	12	0	0	0	0
22	12	0	0	0	0
24	2	1	0	0	0
15	3	0	0	0	0
18	8	0	0	0	0
32	2	1	0	0	0
20	8	0	0	0	0
25	17	0	0	0	0
22	13	0	0	0	0
13	0	0	0	0	0
8	3	0	0	0	0
56	4	2	0	0	0
39	9	0	0	0	0
42	3	0	0	0	0
50	22	0	0	0	0
49	40	0	0	0	0
63	70	0	0	0	0
47	25	0	0	0	0
32	2	1	0	0	0
24	2	0	0	0	0
29	13	0	0	0	0
36	40	0	0	0	0
56	4	2	0	0	0
39	9	0	0	0	0
42	3	0	0	0	0
50	22	0	0	0	0
49	40	0	0	0	0
63	70	0	0	0	0
47	25	0	0	0	0
40	3	1	0	0	0
30	5	0	0	0	0
36	22	0	0	0	0
45	50	0	0	0	0
34	19	0	0	0	0
14	7	0	0	0	0
